store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
415,7,1420239600,0,0,0,0,0,197
27,7,1388271600,0,0,0,0,0,244
404,3,1395183600,657,1,1,0,0,6931
683,2,1359414000,862,1,0,0,0,6474
920,3,1395183600,591,1,1,0,0,6097
758,4,1403733600,569,1,0,0,0,5410
563,1,1424041200,321,1,1,0,0,3419
930,6,1416610800,1367,1,0,0,0,8217
756,4,1428271200,0,0,1,1,0,110
49,2,1421103600,546,1,1,0,0,6418
787,4,1437602400,968,1,0,0,1,8742
782,4,1379541600,472,1,0,0,0,3730
897,7,1397944800,0,0,0,0,0,65
933,1,1378936800,965,1,0,0,0,6685
218,2,1435960800,804,1,0,0,1,5872
554,3,1378764000,499,1,1,0,1,5783
362,1,1386457200,1337,1,1,0,1,13497
655,3,1409781600,560,1,0,0,0,4886
785,3,1419980400,461,1,0,0,1,4426
690,3,1395183600,866,1,1,0,0,8743
1103,7,1423954800,0,0,0,0,0,104
431,1,1391641200,1367,1,1,0,0,14292
127,2,1379973600,642,1,1,0,0,6481
579,5,1364511600,0,0,1,2,1,-210
248,6,1362697200,1139,1,0,0,0,8439
962,6,1414796400,0,0,0,0,0,-41
224,2,1364252400,515,1,1,0,1,5462
208,3,1371592800,355,1,1,0,1,3711
401,1,1427666400,1063,1,1,0,0,10587
503,7,1380405600,0,0,0,0,0,-51
221,4,1430604000,562,1,1,0,0,5836
268,7,1392073200,0,0,0,0,0,-205
799,2,1377554400,927,1,1,0,1,8934
260,6,1414188000,894,1,0,0,0,7282
1041,2,1443823200,594,1,0,0,0,5760
350,2,1371506400,533,1,1,0,0,6332
286,7,1430690400,0,0,0,0,0,25
620,2,1365199200,709,1,1,0,0,7512
521,1,1371420000,484,1,1,0,0,5995
649,4,1417042800,435,1,1,0,0,4320
1059,2,1423177200,1239,1,1,0,0,10557
486,6,1403906400,373,1,0,0,0,3840
252,4,1381960800,642,1,0,0,0,6507
656,3,1368568800,421,1,1,0,0,4606
642,5,1418079600,394,1,0,0,0,4198
655,5,1438725600,761,1,1,0,0,7827
992,3,1372197600,627,1,0,0,0,5282
143,2,1423177200,731,1,1,0,0,7468
421,5,1405634400,941,1,1,0,1,7492
246,4,1391986800,1157,1,1,0,0,9478
960,1,1398636000,720,1,1,0,0,8030
313,5,1389913200,697,1,0,0,0,5606
291,6,1372456800,534,1,0,0,0,4927
924,6,1401487200,333,1,0,0,0,3261
337,2,1376344800,430,1,1,0,1,5049
1024,4,1449097200,607,1,0,0,0,5998
56,3,1390345200,402,1,1,0,0,5330
507,3,1409781600,532,1,0,0,0,5150
970,5,1363302000,406,1,0,0,0,3009
846,2,1435010400,828,1,0,0,0,6570
549,3,1409090400,582,1,0,0,0,6076
1095,4,1364425200,852,1,1,0,1,7176
859,5,1386111600,709,1,1,0,0,7347
914,2,1406584800,1178,1,1,0,1,10290
888,2,1435010400,634,1,0,0,0,5877
442,2,1397167200,517,1,1,0,0,5804
34,6,1378159200,905,1,0,0,0,8068
199,4,1412632800,581,1,0,0,0,5292
854,4,1428271200,657,1,1,1,0,6289
611,2,1390258800,485,1,1,0,0,5460
808,4,1441317600,528,1,0,0,1,6130
1105,4,1421881200,410,1,0,0,0,4256
866,5,1429826400,445,1,0,0,0,4774
222,6,1380319200,367,1,0,0,0,3256
476,2,1379973600,753,1,1,0,0,7184
800,1,1401055200,494,1,0,0,0,4590
330,1,1395615600,408,1,0,0,0,3724
507,3,1435701600,648,1,1,0,0,8073
98,7,1360105200,0,0,0,0,0,106
1026,2,1390863600,1044,1,0,0,0,7308
990,5,1365544800,719,1,0,0,0,5082
8,6,1443650400,345,1,0,0,0,4053
611,3,1375221600,566,1,1,0,1,6705
257,2,1376344800,777,1,1,0,0,7313
840,4,1429135200,1189,1,1,0,0,10949
848,5,1438293600,998,1,1,0,1,9167
124,6,1417906800,297,1,0,0,0,3034
1028,2,1388444400,438,1,0,0,1,4010
95,2,1379973600,1099,1,1,0,0,9539
208,1,1382914800,323,1,0,0,0,2813
249,2,1407362400,449,1,0,0,0,4336
887,3,1363734000,614,1,1,0,0,6586
73,1,1398636000,601,1,1,0,1,7343
13,4,1423004400,501,1,1,0,1,5919
1049,2,1362783600,580,1,0,0,1,5492
144,4,1430517600,769,1,1,0,0,7992
847,3,1376431200,1018,1,1,0,1,8766
796,3,1375653600,717,1,0,0,0,6115
396,4,1446764400,1139,1,0,0,0,10097
1080,7,1379196000,0,0,0,0,0,-112
675,5,1411682400,338,1,0,0,0,3364
1099,1,1389481200,1236,1,1,0,0,10633
791,1,1446678000,858,1,0,0,0,8370
1014,2,1427151600,1476,1,0,0,0,11731
487,2,1397167200,737,1,1,0,0,7376
427,3,1360710000,701,1,0,0,1,4967
254,5,1415919600,282,1,1,0,0,3355
43,5,1391122800,710,1,0,0,0,5617
1074,2,1441490400,421,1,0,0,0,4461
549,6,1372456800,380,1,0,0,0,4613
1095,2,1375308000,720,1,1,0,0,7264
295,1,1382914800,612,1,0,0,1,4648
319,1,1381701600,863,1,0,0,1,7604
1002,4,1412373600,642,1,0,0,0,5748
448,6,1402524000,544,1,0,0,0,5112
527,2,1362783600,1046,1,0,0,1,8593
255,5,1386111600,652,1,1,0,0,8420
581,5,1396821600,651,1,1,0,0,6546
185,6,1367359200,550,1,0,0,0,5456
244,6,1416610800,538,1,0,0,0,5060
1082,6,1367359200,877,1,0,0,0,8102
216,5,1426806000,837,1,1,0,0,9801
350,4,1430604000,508,1,1,0,0,6085
748,1,1396216800,822,1,1,0,0,9531
718,1,1407794400,962,1,0,0,0,7453
739,5,1392937200,789,1,1,0,0,8261
614,7,1419116400,0,0,0,0,0,87
673,2,1392678000,615,1,1,0,0,6776
83,1,1381010400,367,1,0,0,0,4137
976,3,1379455200,598,1,0,0,0,4256
637,6,1370296800,518,1,0,0,0,4808
122,2,1404165600,714,1,1,0,0,7409
898,1,1416783600,1013,1,1,0,0,9779
1080,4,1403733600,710,1,0,0,0,6063
291,1,1427666400,1290,1,1,0,0,14424
24,4,1362092400,711,1,0,0,1,6902
1096,7,1376776800,0,0,0,0,0,-118
637,5,1401400800,860,1,0,0,0,6441
1002,2,1423177200,850,1,1,0,0,9522
666,1,1412287200,497,1,0,0,0,4007
1089,7,1385247600,0,0,0,0,0,0
334,6,1377900000,515,1,0,0,0,4309
300,6,1409349600,951,1,0,0,1,7472
207,1,1411336800,1166,1,0,0,0,8264
683,3,1432677600,854,1,0,0,0,7287
1094,2,1368482400,394,1,1,0,0,5135
700,4,1441576800,576,1,0,0,0,5740
959,2,1409004000,744,1,0,0,0,5532
766,7,1403388000,0,0,0,0,0,191
1011,6,1375740000,977,1,0,0,0,6736
570,5,1386889200,676,1,0,0,0,5110
685,2,1381269600,689,1,1,0,0,7216
158,3,1397599200,681,1,1,0,1,8250
66,5,1432850400,522,1,0,0,1,5405
76,2,1375135200,1080,1,1,0,0,11288
572,3,1381874400,458,1,0,0,0,3736
184,6,1415574000,510,1,0,0,0,4861
1034,5,1370988000,775,1,1,0,0,6874
559,7,1383865200,0,0,0,0,0,-101
862,2,1419289200,1561,1,0,0,1,12155
171,2,1415660400,962,1,1,0,0,8805
33,7,1405116000,0,0,0,0,0,33
936,4,1417042800,963,1,1,0,0,8168
948,2,1392678000,1682,1,1,0,0,7779
371,6,1365112800,551,1,0,0,0,5708
242,1,1399240800,378,1,1,0,0,4745
133,5,1389913200,622,1,0,0,0,5289
1031,1,1418598000,681,1,1,0,0,7145
850,4,1372716000,710,1,1,0,0,6857
860,5,1430863200,833,1,1,0,0,7891
836,6,1370556000,301,1,0,0,0,3100
965,6,1385766000,908,1,0,0,0,7893
1096,1,1422226800,763,1,1,0,0,7595
504,3,1394319600,836,1,1,0,1,8050
230,1,1388358000,1327,1,0,0,1,13194
826,1,1360623600,1170,1,1,0,0,11339
975,2,1375135200,767,1,1,0,1,7520
602,2,1414450800,547,1,0,0,1,5146
953,5,1411077600,553,1,1,0,0,5734
187,6,1360537200,491,1,0,0,0,4868
792,5,1382047200,599,1,0,0,0,4859
1035,4,1417042800,744,1,1,0,0,6897
523,3,1438120800,1515,1,1,0,1,13541
723,4,1365026400,461,1,0,0,1,4610
1025,7,1369519200,0,0,0,0,0,-41
18,7,1427839200,0,0,0,0,0,-30
997,3,1394319600,378,1,1,0,1,4587
400,6,1368136800,805,1,0,0,0,6146
1047,2,1378504800,491,1,0,0,0,4780
819,1,1360364400,472,1,0,0,0,4215
668,1,1391641200,1562,1,1,0,0,12540
585,4,1421881200,666,1,0,0,0,5360
99,1,1412287200,404,1,0,0,0,3853
965,6,1416610800,847,1,0,0,0,7036
590,4,1361401200,376,1,1,0,0,4479
709,2,1423177200,1682,1,1,0,0,13480
58,7,1382220000,0,0,0,0,0,-25
409,7,1409608800,0,0,0,0,0,24
850,6,1428098400,826,1,0,0,0,7279
1058,3,1370210400,737,1,1,0,0,7180
1067,7,1397340000,0,0,0,0,0,31
777,1,1398031200,0,0,0,2,1,-116
155,3,1400623200,632,1,1,0,0,7712
598,1,1435528800,871,1,1,0,0,8402
493,2,1389049200,902,1,1,0,0,9063
628,7,1394233200,0,0,0,0,1,190
524,1,1388358000,1193,1,0,0,1,11740
966,4,1365026400,585,1,0,0,1,4510
1022,5,1388098800,791,1,0,0,1,7674
380,3,1399068000,1720,1,1,0,0,17936
132,3,1421190000,579,1,1,0,0,6708
400,5,1435269600,999,1,0,0,0,8081
988,4,1377727200,790,1,1,0,0,6958
906,2,1363647600,1476,1,1,0,0,12200
1028,2,1368223200,689,1,1,0,0,6448
1100,6,1363993200,484,1,0,0,0,3989
759,1,1358118000,607,1,0,0,0,5366
223,1,1414364400,716,1,0,0,0,5446
936,7,1426374000,0,0,0,0,0,-33
780,6,1446850800,341,1,0,0,0,3258
259,5,1417129200,2677,1,1,0,0,19759
131,6,1378850400,582,1,0,0,0,5351
251,3,1422399600,2241,1,1,0,0,19174
1079,6,1421449200,517,1,0,0,0,4914
1003,3,1399068000,1029,1,1,0,0,11083
980,4,1368050400,450,1,0,0,0,3995
654,2,1422313200,766,1,1,0,0,8222
966,4,1374703200,517,1,0,0,1,4315
1020,1,1411336800,929,1,0,0,0,6840
969,3,1395183600,610,1,1,0,0,5311
1038,2,1435960800,490,1,0,0,1,4895
516,3,1410040800,453,1,0,0,1,4368
733,1,1358118000,3171,1,0,0,0,13105
595,6,1401487200,1881,1,0,0,0,14314
260,3,1405461600,962,1,1,0,1,9196
768,6,1359759600,1251,1,0,0,0,10986
940,1,1358118000,627,1,0,0,0,5772
364,4,1372284000,563,1,0,0,0,4890
506,3,1437516000,763,1,0,0,1,6092
671,3,1369778400,507,1,1,0,1,6138
300,6,1422054000,862,1,0,0,0,7464
84,2,1402956000,1563,1,1,0,0,16209
219,4,1436047200,455,1,1,0,0,4138
934,5,1363906800,764,1,1,0,0,7613
125,3,1420326000,1906,1,1,0,1,17360
176,3,1365717600,757,1,1,0,0,6856
223,2,1385420400,675,1,0,0,0,5350
326,1,1405288800,429,1,1,0,0,5660
339,2,1377554400,745,1,1,0,0,7415
872,3,1438639200,659,1,0,0,1,6562
579,7,1416697200,0,0,0,0,0,-155
974,5,1393542000,1599,1,0,0,0,10444
979,7,1449183600,0,0,0,0,0,90
880,3,1396735200,806,1,1,0,0,8088
910,7,1364684400,0,0,0,0,0,23
1084,6,1428357600,614,1,0,0,0,6197
92,5,1449356400,453,1,0,0,0,4783
14,6,1434751200,402,1,0,0,0,4372
587,1,1388358000,960,1,0,0,1,8138
230,4,1382565600,856,1,1,0,0,7984
689,6,1394838000,589,1,0,0,0,5694
599,1,1368396000,1096,1,1,0,0,10932
596,7,1387666800,0,0,0,0,0,44
